SDSS|z|F1.4GHz|F[OIII]|Cr|logLr|logL[OIII]
 | |mJy|10-20W/m2| |[10-7W]|[10-7W]
-------------------|------|------|-----|-----|-----|-----
J162806.20+084538.0| 0.143|  35.8|  8.3| 3.46|40.47|39.69
J162918.66+133824.0| 0.118|  72.0| 15.6| 3.31|40.59|39.78
J163043.14+163910.8| 0.090|  52.0|  7.4| 3.39|40.19|39.20
J164053.90+324728.4| 0.136|  50.0|  5.4| 3.19|40.56|39.45
J164548.45+393227.4| 0.141|  25.4| 37.4| 3.02|40.30|40.33
J164845.08+254119.5| 0.115| 102.6|  8.8| 3.13|40.72|39.50
J165304.98+400702.5| 0.148|  87.7| 19.4| 3.27|40.89|40.09
J165425.53+414121.2| 0.147|  17.2|  6.8| 3.04|40.17|39.62
J165448.44+261841.3| 0.100|  18.8| 44.1| 3.31|39.86|40.08
J165500.19+390847.9| 0.139|  54.8| 17.5| 3.42|40.63|39.99
J165744.77+215611.1| 0.141|  25.5| 23.2| 3.49|40.30|40.12
J170011.22+323514.7| 0.102| 185.0|  9.1| 3.26|40.86|39.41
J170115.59+240608.4| 0.138|  26.0|  5.2| 3.26|40.30|39.46
J170543.99+583001.2| 0.114|  26.9|     | 3.20|40.13|
J170602.20+201757.8| 0.122|  29.3|  5.1| 3.16|40.23|39.32
J171137.98+580330.2| 0.147|  42.0| 18.6| 3.32|40.56|40.06
J171223.15+640157.1| 0.080| 150.0| 10.8| 3.03|40.55|39.26
J171243.95+620245.0| 0.122|  47.2| 19.4| 3.35|40.43|39.90
J173223.73+552452.8| 0.062|  54.8| 42.6| 3.24|39.88|39.62
J212005.00-075350.1| 0.139|  48.2| 22.4| 3.21|40.57|40.09
J214239.29-080423.8| 0.128|  13.9|  8.9| 3.19|39.95|39.61
J223143.19-082431.7| 0.083| 766.0| 61.1| 2.86|41.29|40.04
J234702.42-010300.9| 0.133|  34.3|  5.8| 2.98|40.38|39.46
