_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
140.2857700|+38.9525800|J092108.4+385708|3| 0.619|140.28577|+38.95258| 0.4064| 82.0| 67.3| 66.6| 0.93
140.2882400|+11.7631500|J092109.1+114547|3| 0.713|140.28824|+11.76315| 0.3366|  6.5|  6.1| -4.1| 1.08
140.2943200|+05.8877300|J092110.6+055315|2| 0.400|140.29432|+05.88773| 0.4490|  0.5|  0.3| -7.3| 1.23
140.3147400|+31.6740700|J092115.4+314025|2| 0.611|140.31474|+31.67407| 0.6213| 21.7| 17.7| 16.1| 0.47
140.3603300|+31.0616600|J092126.5+310342|2| 0.714|140.36033|+31.06166| 0.4061|  1.9|  1.8| -7.1| 0.64
140.3757000|+05.4241000|J092130.1+052527|2| 0.679|140.37570|+05.42410| 0.5258| 11.8| 10.4|  7.5| 1.23
140.4105100|+57.1702300|J092138.5+571013|2| 0.657|140.41051|+57.17023| 0.2825| 57.8| 49.9| 49.1| 1.01
140.4303300|+24.8030200|J092143.3+244812|2| 0.230|140.43033|+24.80302| 0.5354|  7.4|  3.6| -6.4| 0.81
140.6073900|+19.1280000|J092225.7+190741|2| 0.426|140.60739|+19.12800| 0.6433| 24.7| 15.7| 13.9| 0.87
140.6309800|+18.2606600|J092231.4+181538|2| 0.706|140.63098|+18.26066| 0.3909| 34.5| 31.8| 30.9| 2.39
140.6474000|+64.0995200|J092235.4+640558|3| 1.010|140.64740|+64.09952| 0.2831|  1.5|  2.1| -7.0| 1.17
140.6963200|+18.9075100|J092247.1+185427|2| 0.501|140.69632|+18.90751| 0.4807| 14.1|  9.9|  6.7| 0.81
140.7252000|+18.4532600|J092254.0+182711|2| 0.553|140.72520|+18.45326| 0.6767|  0.2|  0.2| -7.3| 0.91
140.7494800|+44.4797400|J092259.8+442847|2| 0.407|140.74948|+44.47974| 0.3061|  8.2|  5.1| -5.2| 1.11
140.8812700|+29.8213700|J092331.4+294916|2| 0.699|140.88127|+29.82137| 0.4933| 40.8| 37.2| 36.5| 1.03
140.9499600|+15.3787500|J092347.9+152243|2| 0.907|140.94996|+15.37875| 0.4281|  1.5|  1.8| -7.1| 1.11
140.9698100|+14.2829300|J092352.7+141658|2| 0.702|140.96981|+14.28293| 0.1414| 14.0| 12.8| 10.5| 0.96
141.0297400|+09.6457800|J092407.1+093844|2| 0.631|141.02974|+09.64578| 0.3292|  6.3|  5.2| -5.1| 1.03
141.1071800|+06.1299800|J092425.7+060747|2| 0.792|141.10718|+06.12998| 0.5005|  7.8|  8.0|  3.3| 0.93
141.1275100|+19.0116200|J092430.5+190041|2| 0.452|141.12751|+19.01162| 0.5592| 18.4| 12.1|  9.6| 1.18
141.1362200|+45.4720100|J092432.6+452819|2| 0.616|141.13622|+45.47201| 0.5744|  3.5|  2.8| -6.7| 1.25
141.1547200|+04.1259200|J092437.2+040731|2| 0.312|141.15472|+04.12592| 0.4826| 20.9| 11.4|  8.7| 1.06
141.2723700|+59.9501200|J092505.3+595700|3| 1.255|141.27237|+59.95012| 0.5850|  2.4|  4.6| -5.7| 0.99
141.2857100|+31.0615200|J092508.5+310341|2| 0.599|141.28571|+31.06152| 0.2091| 19.4| 15.5| 13.6| 0.92
141.3224400|+14.6897500|J092517.3+144125|2| 0.596|141.32244|+14.68975| 0.5066|  3.2|  2.6| -6.9| 1.24
141.3253600|+11.5892500|J092518.0+113521|2| 0.290|141.32536|+11.58925| 0.6213|  9.0|  4.8| -5.6| 1.17
141.4259900|+56.2987100|J092542.2+561755|2| 0.347|141.42599|+56.29871| 0.6128| 24.6| 14.0| 12.0| 1.04
141.4663300|+13.9719000|J092551.9+135819|2| 0.412|141.46633|+13.97190| 0.5610|  3.8|  2.3| -6.9| 1.24
141.4932800|+18.7309800|J092558.4+184350|2| 0.473|141.49328|+18.73098| 0.6367|  6.8|  4.6| -5.7| 1.04
141.5323500|+60.7190300|J092607.7+604307|2| 0.543|141.53235|+60.71903| 0.6052| 18.9| 14.0| 11.9| 0.77
141.5391200|+39.6238100|J092609.3+393726|2| 0.443|141.53912|+39.62381| 0.3183| 94.7| 61.4| 60.9| 2.16
141.6134300|+45.4544700|J092627.2+452716|2| 0.718|141.61343|+45.45447| 0.5209|  6.4|  6.0| -4.2| 1.65
141.6536400|+43.1447200|J092636.8+430839|3| 0.634|141.65364|+43.14472| 0.6937|  8.6|  7.2| -1.2| 1.07
141.6624400|+29.3563100|J092638.9+292122|2| 0.739|141.66244|+29.35631| 0.5180|  6.9|  6.7| -3.0| 0.79
141.8429800|+54.3905600|J092722.3+542326|2| 0.520|141.84298|+54.39056| 0.6498|  3.2|  2.3| -6.9| 1.03
141.9087400|+01.7419900|J092738.0+014431|3| 1.472|141.90874|+01.74199| 0.4190|  2.4|  6.2| -3.9| 1.50
141.9391700|+42.6351200|J092745.3+423806|2| 0.411|141.93917|+42.63512| 0.4714|  7.2|  4.5| -5.8| 1.27
141.9400400|+26.2203000|J092745.6+261314|2| 0.454|141.94004|+26.22030| 0.5471|  9.5|  6.2| -3.8| 0.83
142.1145600|+31.1447700|J092827.5+310841|2| 0.250|142.11456|+31.14477| 0.3456| 70.4| 35.3| 34.6| 1.37
142.1346300|+51.5553300|J092832.2+513316|2| 0.388|142.13463|+51.55533| 0.7057| 66.3| 39.9| 39.2| 1.34
142.1582600|+60.4225000|J092837.9+602520|3| 0.884|142.15826|+60.42250| 0.2950| 22.3| 26.1| 25.0| 1.16
142.2948200|+30.0708600|J092910.7+300415|2| 0.463|142.29482|+30.07086| 0.6110|  8.9|  5.9| -4.2| 0.81
142.3406400|+12.4302200|J092921.7+122548|2| 0.570|142.34064|+12.43022| 0.3452|  2.7|  2.1| -7.0| 1.43
142.3470400|+09.4709500|J092923.3+092815|3| 0.784|142.34704|+09.47095| 0.2625|  4.1|  4.2| -6.0| 0.87
142.4477900|+26.4793700|J092947.4+262846|2| 0.275|142.44779|+26.47937| 0.2882| 70.7| 36.6| 35.9| 0.75
142.4555100|+13.1507400|J092949.4+130904|2| 0.358|142.45551|+13.15074| 0.6528| 36.4| 21.1| 19.8| 1.22
142.4584800|+23.2701100|J092950.0+231612|2| 0.310|142.45848|+23.27011| 0.5223|  2.0|  1.1| -7.2| 0.50
142.4755900|+31.3579000|J092954.1+312128|2| 1.035|142.47559|+31.35790| 0.5719|  5.3|  7.5|  1.7| 1.53
142.5064300|+56.9107200|J093001.5+565438|3| 0.973|142.50643|+56.91072| 0.3435|  0.5|  0.6| -7.3| 0.91
142.5080400|+33.9553500|J093001.9+335718|2| 0.566|142.50804|+33.95535| 0.7472|  1.7|  1.3| -7.2| 0.74
142.5092200|+46.4265600|J093002.1+462535|3| 0.685|142.50922|+46.42656| 0.5655|  1.4|  1.2| -7.2| 0.95
142.5167400|+07.6464200|J093004.0+073847|3| 0.641|142.51674|+07.64642| 0.2164|  3.1|  2.6| -6.8| 0.75
142.5448400|+14.8422200|J093010.7+145032|2| 0.924|142.54484|+14.84222| 0.6108|  4.7|  5.8| -4.5| 1.03
142.5621000|+23.7330900|J093014.9+234359|2| 1.314|142.56210|+23.73309| 0.5377|  3.3|  6.8| -2.6| 0.76
142.6368900|+20.5805000|J093033.0+203449|2| 0.453|142.63689|+20.58050| 0.5956| 24.1| 15.8| 14.1| 1.64
142.6788000|+05.9230000|J093042.9+055522|2| 0.423|142.67880|+05.92300| 0.4600|  6.6|  4.2| -6.0| 1.17
142.8279200|+28.0391600|J093118.7+280220|2| 0.405|142.82792|+28.03916| 0.5994|  2.2|  1.4| -7.2| 1.25
142.8452100|+10.5468800|J093122.8+103248|2| 0.650|142.84521|+10.54688| 0.6972| 12.1| 10.3|  7.3| 0.61
142.8496000|+04.7410400|J093123.8+044427|3| 0.766|142.84960|+04.74104| 0.4354| 21.4| 21.4| 20.1| 0.88
142.9585000|+58.3039100|J093150.0+581814|2| 0.666|142.95850|+58.30391| 0.4346| 31.1| 27.2| 26.2| 1.12
142.9681800|+08.7699000|J093152.3+084612|2| 0.242|142.96818|+08.76990| 0.3673| 32.0| 15.9| 14.1| 0.99
143.0326900|+26.2456700|J093207.7+261444|2| 0.392|143.03269|+26.24567| 0.3672| 15.8|  9.5|  6.1| 1.07
143.2025700|+40.1643300|J093248.6+400951|2| 0.664|143.20257|+40.16433| 0.5635| 14.6| 12.7| 10.4| 1.41
143.3948100|+24.7076800|J093334.7+244227|2| 0.377|143.39481|+24.70768| 0.7527| 23.8| 14.2| 12.1| 1.28
143.4503200|+51.2348100|J093348.0+511405|2| 0.813|143.45032|+51.23481| 0.5766|  1.6|  1.7| -7.1| 0.61
143.4502500|+19.5907000|J093348.2+193525|2| 0.567|143.45025|+19.59070| 0.2321|  2.1|  1.6| -7.1| 0.84
143.4576100|+45.3327200|J093349.8+451957|2| 1.114|143.45761|+45.33272| 0.1339|  7.3| 11.6|  9.0| 0.65
143.4692800|+10.0630600|J093352.6+100347|2| 0.461|143.46928|+10.06306| 0.6338|125.6| 83.4| 83.1| 0.06
143.5276300|+30.5496900|J093406.6+303259|2| 1.149|143.52763|+30.54969| 0.7655|  1.2|  2.0| -7.0| 1.03
143.5638600|+57.4578200|J093415.2+572728|2| 0.828|143.56386|+57.45782| 0.5809|  5.2|  5.7| -4.6| 0.86
143.5953900|+44.3880500|J093422.9+442316|2| 0.383|143.59539|+44.38805| 0.5437|  8.3|  5.0| -5.3| 1.64
143.6491800|+14.3449100|J093435.8+142041|2| 0.961|143.64918|+14.34491| 0.3347|  6.6|  8.6|  4.5| 1.11
143.6870300|+31.0996500|J093444.8+310559|2| 0.749|143.68703|+31.09965| 0.5211| 10.0|  9.7|  6.4| 0.60
143.7244300|+43.6840000|J093453.8+434102|2| 0.380|143.72443|+43.68400| 0.6064|  8.1|  4.8| -5.5| 1.02
143.8725000|+25.2782600|J093529.3+251641|2| 0.495|143.87250|+25.27826| 0.4620| 29.8| 20.7| 19.4| 1.08
143.9910400|+32.4991300|J093557.8+322956|2| 0.424|143.99104|+32.49913| 0.5950| 33.1| 20.9| 19.6| 0.73
143.9931300|+31.8428500|J093558.3+315033|2| 1.316|143.99313|+31.84285| 0.3654| 26.1| 54.4| 53.9| 0.48
144.0073900|+12.7665200|J093601.7+124558|2| 0.879|144.00739|+12.76652| 0.6504|  8.4|  9.7|  6.4| 1.18
144.0084800|+09.1797600|J093602.0+091047|2| 0.411|144.00848|+09.17976| 0.5256| 37.2| 23.1| 21.9| 1.59
144.0966100|+48.7337500|J093623.1+484400|2| 0.645|144.09661|+48.73375| 0.4938|  0.1|  0.1| -7.3| 1.16
144.1744500|+07.8218100|J093641.8+074918|2| 0.920|144.17445|+07.82181| 0.5657|  4.1|  5.1| -5.2| 1.51
144.1750000|+11.2308200|J093642.0+111351|3| 1.180|144.17500|+11.23082| 0.1195|  5.7| 10.0|  6.8| 1.08
144.2362400|+13.9501200|J093656.7+135700|2| 0.194|144.23624|+13.95012| 0.5588| 30.0| 13.9| 11.9| 0.99
144.3581600|+11.3346000|J093725.9+112004|2| 0.541|144.35816|+11.33460| 0.4383|  5.8|  4.3| -5.9| 1.00
144.3886900|+13.5170400|J093733.2+133101|3| 1.107|144.38869|+13.51704| 0.5633|  0.4|  0.6| -7.3| 0.85
144.4406000|+23.6205300|J093745.7+233714|2| 0.482|144.44060|+23.62053| 0.5321| 20.8| 14.2| 12.2| 0.96
144.5199900|+43.4431600|J093804.7+432635|2| 0.486|144.51999|+43.44316| 0.5990|  6.1|  4.2| -6.0| 1.31
144.5298800|+40.6379100|J093807.0+403814|2| 0.573|144.52988|+40.63791| 0.3957|  0.4|  0.3| -7.3| 1.08
144.5895900|+55.7260800|J093821.4+554333|2| 0.708|144.58959|+55.72608| 0.2212|  7.2|  6.7| -3.0| 0.70
144.6003800|+10.2612200|J093824.0+101540|2| 0.306|144.60038|+10.26122| 0.7032|  8.2|  4.4| -5.8| 1.02
144.6179700|+05.7041600|J093828.3+054214|2| 0.562|144.61797|+05.70416| 0.3546|  0.3|  0.3| -7.3| 1.03
144.6246100|+43.4000900|J093829.9+432400|2| 0.390|144.62461|+43.40009| 0.3271| 13.4|  8.1|  3.5| 1.84
144.6445000|+45.3399400|J093834.7+452024|2| 1.211|144.64450|+45.33994| 0.4501|  4.6|  8.4|  4.1| 0.96
144.6635200|+14.4522700|J093839.3+142709|2| 0.364|144.66352|+14.45227| 0.1777|  5.3|  3.1| -6.6| 0.89
144.8564000|+26.9027500|J093925.5+265409|2| 0.477|144.85640|+26.90275| 0.3714|  6.3|  4.3| -5.9| 0.95
144.9684600|+16.9870300|J093952.4+165912|2| 0.677|144.96846|+16.98703| 0.5773| 20.5| 18.2| 16.7| 1.02
144.9719200|+23.6503600|J093953.2+233901|3| 0.773|144.97192|+23.65036| 0.5479| 22.0| 22.2| 20.9| 1.78
145.0414500|+23.3541800|J094009.9+232114|2| 0.461|145.04145|+23.35418| 0.5159|158.9|105.6|105.3| 3.31
145.1001300|+24.9404200|J094024.0+245625|2| 0.511|145.10013|+24.94042| 0.3075|112.9| 80.2| 79.6| 0.57
145.1445400|+14.0135200|J094034.6+140048|2| 0.443|145.14454|+14.01352| 0.1925| 24.9| 16.2| 14.4| 1.28
145.1792600|+15.4670400|J094043.0+152801|2| 0.612|145.17926|+15.46704| 0.4031|  2.4|  2.0| -7.0| 0.55
145.2040600|+47.4494300|J094048.9+472658|2| 0.452|145.20406|+47.44943| 0.6475|  8.2|  5.4| -5.0| 0.98
145.2422700|+64.0185700|J094058.1+640106|2| 0.773|145.24227|+64.01857| 0.3879|  7.1|  7.1| -1.7| 1.25
145.2620800|+14.8509600|J094102.8+145104|2| 0.558|145.26208|+14.85096| 0.4096|  7.7|  5.8| -4.4| 0.98
145.2666500|+38.8974700|J094104.0+385350|3| 1.224|145.26665|+38.89747| 0.6158|  9.2| 16.9| 15.2| 1.16
145.3314400|+56.0986000|J094119.8+560550|2| 0.644|145.33144|+56.09860| 0.6561| 46.3| 39.3| 38.6| 1.70
145.3329700|+19.1965800|J094119.9+191147|2| 0.447|145.33297|+19.19658| 0.6453|  3.1|  2.0| -7.0| 1.15
145.3501300|+14.3725900|J094124.0+142222|2| 0.312|145.35013|+14.37259| 0.5466| 17.2|  9.3|  5.9| 1.03
145.4219300|+33.4538800|J094141.0+332712|2| 0.382|145.42193|+33.45388| 0.1752| 15.7|  9.4|  5.9| 0.67
145.4648700|+09.5074900|J094151.4+093027|2| 0.270|145.46487|+09.50749| 0.4744| 56.1| 28.9| 27.9| 0.69
145.4929600|+22.5783900|J094158.3+223442|2| 1.094|145.49296|+22.57839| 0.1773|  6.2|  9.5|  6.1| 0.99
145.5073400|+08.7935900|J094201.7+084736|3| 1.490|145.50734|+08.79359| 0.1345|  2.0|  5.2| -5.1| 1.14
145.5393800|+30.9546200|J094209.4+305716|2| 0.417|145.53938|+30.95462| 0.2973| 44.2| 27.7| 26.7| 0.70
145.5591200|+61.7170200|J094214.2+614301|2| 0.362|145.55912|+61.71702| 0.3967|  7.8|  4.5| -5.8| 0.89
145.5753500|+29.3945000|J094218.2+292337|2| 0.454|145.57535|+29.39450| 0.3031| 15.7| 10.3|  7.3| 4.62
145.5967800|+22.3802400|J094223.2+222249|3| 0.678|145.59678|+22.38024| 0.6983|  9.0|  8.0|  3.1| 1.12
145.6275800|+26.4454100|J094230.6+262643|2| 0.838|145.62758|+26.44541| 0.5553|  5.2|  5.7| -4.5| 0.64
145.6388300|+63.4016400|J094233.3+632405|2| 0.674|145.63883|+63.40164| 0.3582|  2.5|  2.2| -7.0| 0.85
145.7127600|+45.8545100|J094251.0+455116|2| 0.656|145.71276|+45.85451| 0.7529| 10.3|  8.9|  5.1| 0.84
145.7383100|+52.4121100|J094257.2+522444|2| 0.238|145.73831|+52.41211| 0.6586|  0.9|  0.5| -7.3| 1.04
145.7402100|+10.0785200|J094257.6+100442|2| 0.505|145.74021|+10.07852| 0.5960|  2.5|  1.8| -7.1| 0.57
145.7886800|+59.9451400|J094309.2+595642|2| 0.223|145.78868|+59.94514| 0.7069| 12.1|  5.9| -4.4| 1.22
145.7924600|+03.3447900|J094310.1+032041|2| 0.468|145.79246|+03.34479| 0.3322| 25.4| 17.0| 15.4| 1.13
145.9049400|+24.5813500|J094337.1+243452|2| 0.567|145.90494|+24.58135| 0.3512|  8.5|  6.5| -3.4| 1.09
145.9615200|+41.3265700|J094350.7+411935|2| 0.502|145.96152|+41.32657| 0.3718| 51.8| 36.3| 35.6| 2.95
145.9886100|+53.3372000|J094356.8+532014|2| 0.422|145.98861|+53.33720| 0.4447|  4.5|  2.9| -6.7| 0.71
146.0509800|+21.3354100|J094412.1+212007|2| 0.678|146.05098|+21.33541| 0.4557|  2.7|  2.4| -6.9| 1.17
146.0709300|+41.2606500|J094417.0+411538|2| 0.641|146.07093|+41.26065| 0.3731| 16.4| 13.9| 11.8| 1.88
146.2740100|+21.7468200|J094505.6+214447|2| 0.669|146.27401|+21.74682| 0.5001| 10.4|  9.1|  5.5| 1.09
146.3462100|+64.2856900|J094523.0+641708|2| 0.565|146.34621|+64.28569| 0.2960|  8.3|  6.3| -3.7| 1.12
146.4262100|+06.2685000|J094542.2+061606|2| 0.242|146.42621|+06.26850| 0.5346| 10.2|  5.0| -5.3| 1.01
146.4303000|+06.0663200|J094543.2+060358|3| 0.829|146.43030|+06.06632| 0.4769|  8.8|  9.6|  6.2| 0.87
146.4316800|+04.6587100|J094543.6+043931|2| 0.598|146.43168|+04.65871| 0.3855| 24.6| 19.6| 18.2| 0.88
146.4465500|+04.1706200|J094547.1+041014|2| 0.444|146.44655|+04.17062| 0.3312|123.8| 80.3| 80.0| 0.70
146.5042300|+29.4305600|J094601.0+292550|3| 0.681|146.50423|+29.43056| 0.2105|  5.1|  4.6| -5.7| 1.09
146.5044200|+32.1483000|J094601.0+320853|2| 0.893|146.50442|+32.14830| 0.5816|  6.7|  8.0|  3.2| 0.94
146.5422200|+05.2923400|J094610.1+051731|2| 0.327|146.54222|+05.29234| 0.5197|  3.1|  1.7| -7.1| 1.38
146.6264300|+30.5497400|J094630.3+303259|2| 0.440|146.62643|+30.54974| 0.6236|  8.8|  5.7| -4.6| 0.83
146.7098300|+14.1778900|J094650.3+141040|2| 0.695|146.70983|+14.17789| 0.5563| 46.4| 42.1| 41.5| 0.37
146.7099500|+38.3368400|J094650.4+382010|2| 0.504|146.70995|+38.33684| 0.5702|  4.0|  2.8| -6.8| 1.03
146.7875000|+32.9115200|J094709.0+325440|2| 0.875|146.78750|+32.91152| 0.4438|  5.1|  5.9| -4.3| 0.83
146.7960900|+18.4571600|J094711.0+182725|2| 0.395|146.79609|+18.45716| 0.5534| 16.9| 10.3|  7.3| 0.89
146.9844000|+52.6479500|J094756.1+523853|2| 0.655|146.98440|+52.64795| 0.7170|  2.9|  2.5| -6.9| 1.06
146.9928300|+55.1068500|J094758.2+550624|2| 0.380|146.99283|+55.10685| 0.6072| 16.2|  9.6|  6.3| 1.53
147.0065400|+59.6014600|J094801.6+593604|2| 0.269|147.00654|+59.60146| 0.3510|  4.2|  2.1| -7.0| 0.94
147.0425900|+06.3512400|J094810.2+062104|2| 0.851|147.04259|+06.35124| 0.3284| 25.3| 28.3| 27.1| 0.88
147.0962700|+28.6375700|J094823.0+283815|3| 1.333|147.09627|+28.63757| 0.7496|  6.5| 13.8| 11.7| 1.22
147.1153800|+12.2973500|J094827.7+121751|2| 0.765|147.11538|+12.29735| 0.4262| 12.7| 12.7| 10.4| 0.46
147.1958400|+18.4030300|J094846.9+182411|2| 0.898|147.19584|+18.40303| 0.5726| 12.9| 15.3| 13.4| 1.94
147.1995500|+12.7420100|J094847.8+124431|2| 0.325|147.19955|+12.74201| 0.3886|  8.3|  4.6| -5.7| 0.95
147.2073700|+61.1513300|J094849.7+610904|2| 0.353|147.20737|+61.15133| 0.5106|  6.4|  3.7| -6.3| 1.15
147.2272600|+40.5283300|J094854.5+403142|2| 0.639|147.22726|+40.52833| 0.5195| 18.6| 15.7| 13.8| 0.66
147.3163900|+21.8751800|J094915.9+215230|2| 0.421|147.31639|+21.87518| 0.4759|  8.1|  5.1| -5.3| 1.82
147.3572600|+22.1145800|J094925.7+220652|2| 0.476|147.35726|+22.11458| 0.1996| 18.5| 12.5| 10.2| 1.04
147.3784300|+49.7363300|J094930.8+494411|2| 0.371|147.37843|+49.73633| 0.5878| 28.9| 17.0| 15.4| 0.73
147.3932300|+39.3555900|J094934.4+392120|2| 0.264|147.39323|+39.35559| 0.6009|  2.3|  1.2| -7.2| 0.88
147.3961600|+35.0338500|J094935.0+350201|2| 0.586|147.39616|+35.03385| 0.5940|  1.5|  1.2| -7.2| 0.94
147.4255100|+27.2219100|J094942.1+271318|2| 0.760|147.42551|+27.22191| 0.5416|  1.7|  1.7| -7.1| 0.76
147.4548300|+32.0544800|J094949.1+320316|2| 0.484|147.45483|+32.05448| 0.5453|  1.7|  1.2| -7.2| 0.82
147.4850500|+53.8881600|J094956.3+535317|2| 0.727|147.48505|+53.88816| 0.5157| 38.5| 36.5| 35.8| 1.65
147.4881900|+47.1752900|J094957.1+471030|2| 0.390|147.48819|+47.17529| 0.4195| 73.9| 44.6| 44.0| 1.22
147.5539900|+35.3181900|J095012.9+351905|2| 0.645|147.55399|+35.31819| 0.2140|  0.7|  0.6| -7.3| 0.89
147.6743400|+51.5026000|J095041.8+513009|2| 0.330|147.67434|+51.50260| 0.4098| 68.4| 38.1| 37.4| 0.99
147.7191600|+49.2195300|J095052.5+491310|2| 0.291|147.71916|+49.21953| 0.4070| 44.3| 23.4| 22.3| 0.89
147.7395200|+06.2141500|J095057.4+061251|2| 0.993|147.73952|+06.21415| 0.5243|  5.3|  7.1| -1.7| 1.00
147.7608300|+10.3703900|J095102.5+102213|2| 0.982|147.76083|+10.37039| 0.2281|  8.9| 11.9|  9.2| 0.76
147.7899100|+16.9639000|J095109.5+165750|3| 0.849|147.78991|+16.96390| 0.5940|  4.3|  4.8| -5.5| 0.66
147.8106600|+29.3457800|J095114.3+292045|2| 0.327|147.81066|+29.34578| 0.3179| 50.1| 27.8| 26.8| 0.75
147.8494400|+41.7925300|J095123.8+414733|2| 0.614|147.84944|+41.79253| 0.5996| 27.8| 22.6| 21.4| 1.09
147.8510700|+28.6221600|J095124.2+283719|2| 0.599|147.85107|+28.62216| 0.6530|  0.4|  0.3| -7.3| 1.12
147.8580300|+35.8426400|J095125.9+355033|2| 0.650|147.85803|+35.84264| 0.5939| 10.2|  8.7|  4.7| 1.34
147.8603500|+01.7810400|J095126.4+014651|2| 0.636|147.86035|+01.78104| 0.4953|  3.6|  3.0| -6.7| 1.24
147.9322100|+08.2746400|J095143.7+081628|2| 0.508|147.93221|+08.27464| 0.1393| 23.6| 16.7| 14.9| 1.39
147.9877600|+29.6499900|J095157.0+293859|2| 0.386|147.98776|+29.64999| 0.4082|  3.5|  2.1| -7.0| 1.33
148.0782500|+43.6472600|J095218.7+433850|2| 0.616|148.07825|+43.64726| 0.3624|  2.0|  1.7| -7.1| 1.13
148.0857900|+22.0057600|J095220.5+220020|2| 0.544|148.08579|+22.00576| 0.4974| 32.7| 24.2| 23.1| 1.01
148.1073900|+40.9932100|J095225.8+405934|2| 0.715|148.10739|+40.99321| 0.4690|  9.7|  9.0|  5.3| 0.84
148.4151200|+12.9489100|J095339.6+125656|3| 0.720|148.41512|+12.94891| 0.2860|  4.6|  4.3| -5.9| 0.91
148.4281700|+11.8486700|J095342.7+115057|2| 0.740|148.42817|+11.84867| 0.4642|  4.3|  4.1| -6.0| 0.89
148.4715500|+20.5953300|J095353.1+203543|2| 0.647|148.47155|+20.59533| 0.3731|  5.3|  4.5| -5.7| 0.51
148.5105400|+39.9976500|J095402.5+395951|2| 0.778|148.51054|+39.99765| 0.3051| 10.6| 10.7|  7.8| 1.17
148.5509100|+59.0575300|J095412.2+590327|2| 0.414|148.55091|+59.05753| 0.5847| 20.1| 12.6| 10.2| 1.05
148.6166000|+30.3274000|J095427.9+301938|2| 0.696|148.61660|+30.32740| 0.2060| 23.1| 21.0| 19.6| 1.14
148.6258100|+39.6334100|J095430.1+393800|2| 0.776|148.62581|+39.63341| 0.5332|  5.7|  5.7| -4.5| 0.86
148.6552400|+58.3610700|J095437.2+582139|2| 0.790|148.65524|+58.36107| 0.5921|  6.9|  7.1| -1.7| 0.87
148.6730600|+46.1359300|J095441.5+460809|2| 0.630|148.67306|+46.13593| 0.4383|  9.6|  8.0|  3.3| 1.00
148.6973500|+39.5772100|J095447.3+393437|2| 0.322|148.69735|+39.57721| 0.5398| 11.0|  6.0| -4.1| 0.90
148.7568700|+37.7792600|J095501.6+374645|3| 1.027|148.75687|+37.77926| 0.3445|  0.3|  0.5| -7.3| 1.17
148.7668400|+40.6193900|J095504.0+403709|2| 0.393|148.76684|+40.61939| 0.6086|  7.4|  4.5| -5.8| 0.97
148.7826700|+11.3206000|J095507.8+111914|2| 0.681|148.78267|+11.32060| 0.3948|  3.0|  2.6| -6.8| 1.30
148.8628800|+28.6885500|J095527.0+284119|2| 0.620|148.86288|+28.68855| 0.6128| 24.0| 19.7| 18.3| 0.92
148.9650600|+11.0426100|J095551.6+110233|2| 0.615|148.96506|+11.04261| 0.2809| 24.3| 19.8| 18.3| 1.01
149.0137800|+37.9056900|J095603.2+375421|2| 0.249|149.01378|+37.90569| 0.4415| 52.9| 26.5| 25.4| 0.90
149.0141000|+23.6364100|J095603.3+233811|2| 0.931|149.01410|+23.63641| 0.3386|  2.6|  3.2| -6.5| 0.99
149.0244600|+16.4750000|J095605.8+162830|3| 0.586|149.02446|+16.47500| 0.3177| 11.5|  9.1|  5.3| 0.92
149.0261600|+22.5655700|J095606.2+223355|2| 0.923|149.02616|+22.56557| 0.6766| 16.1| 19.9| 18.5| 1.04
149.0842400|+13.2613300|J095620.2+131540|2| 0.566|149.08424|+13.26133| 0.2551| 30.3| 23.2| 22.0| 1.38
149.1142500|+50.5535200|J095627.4+503312|2| 0.579|149.11425|+50.55352| 0.6007|  5.8|  4.5| -5.8| 1.35
149.1263300|+59.4017600|J095630.3+592406|2| 0.372|149.12633|+59.40176| 0.4171| 61.9| 36.5| 35.7| 1.28
149.1740600|+62.7077000|J095641.8+624227|2| 0.607|149.17406|+62.70770| 0.5134|  0.9|  0.7| -7.3| 0.92
149.1760600|+20.0433700|J095642.2+200236|2| 0.872|149.17606|+20.04337| 0.6942|  3.7|  4.3| -5.9| 1.87
149.1980600|+23.1043700|J095647.5+230615|2| 0.538|149.19806|+23.10437| 0.6346| 14.2| 10.4|  7.4| 1.21
149.2153900|+29.3460700|J095651.6+292045|2| 0.427|149.21539|+29.34607| 0.5720|  5.9|  3.8| -6.3| 1.08
149.2390800|+50.2412900|J095657.3+501428|2| 0.272|149.23908|+50.24129| 0.5022| 22.6| 11.7|  9.1| 1.10
149.2838300|+53.5435100|J095708.1+533236|2| 0.421|149.28383|+53.54351| 0.3312| 10.2|  6.4| -3.5| 1.18
149.3526300|+35.2782100|J095724.6+351641|2| 0.694|149.35263|+35.27821| 0.7058|  9.9|  9.0|  5.2| 1.32
149.3670000|+16.1145000|J095728.1+160652|2| 0.824|149.36700|+16.11450| 0.4121| 37.6| 40.6| 39.9| 1.20
149.4044200|+09.6485300|J095737.0+093853|2| 0.189|149.40442|+09.64853| 0.3792|  9.6|  4.4| -5.8| 1.57
149.4628600|+20.1254800|J095751.0+200731|2| 0.667|149.46286|+20.12548| 0.1876| 10.3|  9.0|  5.2| 1.03
149.5290700|+10.5463100|J095806.9+103246|2| 0.572|149.52907|+10.54631| 0.6568| 27.7| 21.3| 20.0| 1.75
