_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
232.3750100|+53.0282700|J152929.9+530142|2| 0.400|232.37501|+53.02827| 0.5863| 31.0| 19.0| 17.5| 1.34
232.3822200|+24.7966900|J152931.7+244748|2| 0.695|232.38222|+24.79669| 0.5054|  2.6|  2.3| -6.9| 0.92
232.3896600|+13.9906900|J152933.5+135924|2| 0.456|232.38966|+13.99069| 0.4353| 13.4|  8.9|  5.0| 1.56
232.4055700|+02.8899200|J152937.3+025323|2| 0.283|232.40557|+02.88992| 0.6573| 10.3|  5.4| -4.9| 0.67
232.5201400|+33.8615700|J153004.8+335141|2| 1.283|232.52014|+33.86157| 0.4450|  7.1| 14.1| 12.1| 1.22
232.5410600|+23.1647000|J153009.9+230954|2| 0.370|232.54106|+23.16470| 0.4138| 18.9| 11.1|  8.4| 0.85
232.7318800|+17.7052300|J153055.6+174218|2| 0.866|232.73188|+17.70523| 0.0492| 10.2| 11.6|  9.0| 1.26
232.7407700|+10.3711300|J153057.7+102216|3| 1.000|232.74077|+10.37113| 0.4764| 11.3| 15.4| 13.6| 0.84
232.8324500|+03.8116000|J153119.7+034841|2| 0.817|232.83245|+03.81160| 0.5538| 11.6| 12.4| 10.0| 1.59
232.8556800|+35.5611800|J153125.3+353340|2| 0.618|232.85568|+35.56118| 0.3409|  2.7|  2.2| -6.9| 0.98
232.8877300|+34.4064600|J153133.0+342423|2| 1.130|232.88773|+34.40646| 0.0763| 15.2| 24.7| 23.6| 0.71
232.8984700|+47.2810300|J153135.6+471651|2| 0.583|232.89847|+47.28103| 0.4934| 22.4| 17.5| 15.9| 1.66
232.9069700|+15.3387300|J153137.6+152019|2| 0.475|232.90697|+15.33873| 0.1959|  2.4|  1.6| -7.1| 1.25
232.9604400|+38.7952200|J153150.6+384743|2| 0.763|232.96044|+38.79522| 0.5635|  5.0|  5.0| -5.3| 0.98
233.0039700|+27.4247000|J153201.0+272528|2| 0.518|233.00397|+27.42470| 0.2157| 21.5| 15.4| 13.5| 0.79
233.0638000|+16.2355300|J153215.3+161407|2| 0.414|233.06380|+16.23553| 0.4501| 62.2| 38.8| 38.1| 0.80
233.1153000|+35.0397600|J153227.7+350222|2| 0.395|233.11530|+35.03976| 0.5415|  5.6|  3.4| -6.5| 0.81
233.1172400|+60.9932200|J153228.0+605935|2| 0.328|233.11724|+60.99322| 0.5769| 13.4|  7.5|  1.5| 1.07
233.2043700|+02.6886000|J153249.0+024120|2| 0.510|233.20437|+02.68860| 0.3397|  1.7|  1.2| -7.2| 1.59
233.2145100|+37.1454000|J153251.4+370844|2| 0.551|233.21451|+37.14540| 0.2661| 21.0| 15.8| 13.9| 1.20
233.2313700|+22.3470100|J153255.5+222048|2| 0.631|233.23137|+22.34701| 0.5212|  0.5|  0.4| -7.3| 1.18
233.2817000|+26.2836200|J153307.6+261702|2| 0.634|233.28170|+26.28362| 0.4340| 24.2| 20.2| 18.8| 0.89
