FCG|RAJ2000|DEJ2000|Size|RAc|DEc|Group|Com|Tno
 |"h:m:s"|"d:m:s"|arcmin|"h:m:s"|"d:m:s"| | |
----------------|------------|------------|-----|------------|------------|------|------------------------------------------------------------------------------------------------------------------------|--
J221515.3+004044|22 15 15.270|+00 40 50.46| 0.90|22 15 15.328|+00 40 44.45|663476|                                                                                                                        |11
J232106.7-014309|23 21 06.745|-01 43 09.01| 0.47|            |            |671642|rc                                                                                                                      |11
J232208.1-094154|23 22 08.188|-09 41 54.35| 0.47|            |            |671777|dd                                                                                                                      |11
J233900.2+004307|23 39 00.546|+00 43 03.77| 0.69|23 39 00.200|+00 43 07.73|673883|dd?                                                                                                                     |11
J235355.6+001256|23 53 55.333|+00 12 54.65| 1.18|23 53 55.662|+00 12 56.22|675669|dl? dd                                                                                                                  |11
J002839.2+003543|00 28 39.260|+00 35 43.88| 2.58|            |            |003553|tri  dd? triple core with lobe(s) or sl? int                                                                            |12
J003744.5-101027|00 37 44.528|-10 10 27.58| 1.34|            |            |004699|tri? mg int                                                                                                             |12
J070711.5+432710|07 07 11.597|+43 27 10.48| 0.51|            |            |028280|tri  rc? sz? x? unu pinwheel?                                                                                           |12
J072323.8+264336|07 23 23.896|+26 43 36.48| 0.57|            |            |035777|tri? quad unu                                                                                                           |12
J073134.9+232104|07 31 34.935|+23 21 04.69| 1.15|            |            |040744|tri  wat? irr                                                                                                           |12
J073540.4+361912|07 35 40.689|+36 19 17.76| 0.30|07 35 40.471|+36 19 12.76|043290|tri? nat unu                                                                                                            |12
J074639.9+465227|07 46 39.969|+46 52 27.31| 0.82|            |            |051101|tri  wat? mg unu                                                                                                        |12
J084122.7+611228|08 41 24.692|+61 12 16.34| 1.85|08 41 22.758|+61 12 28.12|100723|tri  nat mg distorted int                                                                                               |12
J090124.9+025916|09 01 23.984|+02 59 02.22| 1.21|09 01 24.981|+02 59 16.36|122268|tri  nat int ring?                                                                                                      |12
J091118.8+073239|09 11 19.144|+07 32 34.02| 0.76|09 11 18.890|+07 32 39.77|133221|tri? mg wat                                                                                                             |12
J091420.6+582253|09 14 21.557|+58 22 44.78| 0.77|09 14 20.617|+58 22 53.47|136634|tri? mg wat ring-lobe?                                                                                                  |12
J093158.9+201242|09 31 59.442|+20 12 45.77| 0.24|09 31 58.920|+20 12 42.34|156278|tri? nat ring int                                                                                                       |12
J093522.7+112455|09 35 23.157|+11 24 50.91| 0.80|09 35 22.764|+11 24 55.54|159882|tri? mg nat int distorted                                                                                               |12
J093616.7-045533|09 36 16.437|-04 55 35.39| 1.02|09 36 16.708|-04 55 33.63|160852|tri? mg complex sz+? nat+? hook?                                                                                        |12
J100032.1-060604|10 00 32.182|-06 06 04.02| 0.89|            |            |187860|tri? mg starwars? with ring?                                                                                            |12
J103858.3+604312|10 38 58.344|+60 43 12.16| 1.88|            |            |230718|tri? mg                                                                                                                 |12
J110300.1+430238|11 03 00.116|+43 02 38.98| 0.31|            |            |256920|tri  quad                                                                                                               |12
J110332.3+170230|11 03 32.300|+17 02 33.81| 0.40|11 03 32.363|+17 02 30.21|257520|tri  int                                                                                                                |12
J111626.2+061004|11 16 26.523|+06 10 08.07| 0.20|11 16 26.234|+06 10 04.04|272050|tri  nat?                                                                                                               |12
J111951.9+114032|11 19 51.904|+11 40 32.66| 0.51|            |            |275799|tri  mg quad unu                                                                                                        |12
J114432.1+052938|11 44 32.254|+05 29 36.86| 0.30|11 44 32.178|+05 29 38.28|303074|tri  quad nat? int                                                                                                      |12
J114708.3+450945|11 47 08.338|+45 09 45.62| 0.42|            |            |306077|tri? mg quad?                                                                                                           |12
J120232.1-072531|12 02 32.167|-07 25 31.07| 0.31|            |            |323306|tri  int                                                                                                                |12
J125046.1+343953|12 50 46.172|+34 39 53.65| 0.27|            |            |376070|tri  lobe wat/nat                                                                                                       |12
J125803.5-021619|12 58 03.597|-02 16 19.94| 0.52|            |            |384056|tri? x                                                                                                                  |12
J130224.7+002112|13 02 24.792|+00 21 12.60| 0.45|            |            |388876|tri? nat? x? unu                                                                                                        |12
J133225.2+341440|13 32 25.218|+34 14 40.67| 0.38|            |            |421913|tri? int                                                                                                                |12
J135031.9+330120|13 50 31.949|+33 01 20.68| 1.33|            |            |442035|tri  wat mg unu                                                                                                         |12
J142031.3-062248|14 20 31.070|-06 22 42.49| 0.95|14 20 31.386|-06 22 48.77|475261|tri? wat                                                                                                                |12
J144815.8+442424|14 48 15.197|+44 24 19.93| 0.38|14 48 15.852|+44 24 24.55|506081|tri? irr x nat? distorted bifurcation int                                                                               |12
J145224.2+021202|14 52 24.214|+02 12 02.51| 0.72|            |            |510784|tri? mg nat? unu int                                                                                                    |12
J150759.6+591416|15 07 59.619|+59 14 16.75| 0.43|            |            |528145|tri? mg nat?                                                                                                            |12
J150804.5+103624|15 08 04.510|+10 36 24.74| 1.02|            |            |528235|tri  mg unu                                                                                                             |12
J151919.8+313234|15 19 19.878|+31 32 34.69| 0.25|            |            |540633|tri  rc? int                                                                                                            |12
J152145.4+222731|15 21 45.455|+22 27 31.35| 0.22|            |            |543335|tri  tb nat?                                                                                                            |12
J152624.1+305008|15 26 24.112|+30 50 08.19| 0.74|            |            |548427|tri? rc nat/wat? pinwheel unu                                                                                           |12
J153305.4+045025|15 33 05.429|+04 50 25.95| 0.48|            |            |555788|tri? mg irr                                                                                                             |12
J160354.8+250918|16 03 54.840|+25 09 18.04| 0.31|            |            |588372|tri  mg d+d+rc d+nat?                                                                                                   |12
J161524.7+490717|16 15 24.785|+49 07 17.08| 1.46|            |            |599541|tri? mg quad                                                                                                            |12
J163349.1+291244|16 33 49.137|+29 12 44.38| 0.30|            |            |616025|tri? mg                                                                                                                 |12
J164836.1+580848|16 48 36.156|+58 08 48.62| 0.31|            |            |627816|tri  rc                                                                                                                 |12
J165132.8+422925|16 51 32.846|+42 29 25.47| 0.34|            |            |630062|tri  nat? distorted ring? int                                                                                           |12
J170759.7+440236|17 07 59.722|+44 02 36.84| 0.65|            |            |641328|tri? mg distorted int                                                                                                   |12
J171014.3+303729|17 10 14.308|+30 37 29.06| 0.72|            |            |642689|tri? mg nat?                                                                                                            |12
J171136.6+402855|17 11 36.665|+40 28 55.24| 0.13|            |            |643509|tri  lobe?                                                                                                              |12
J171716.1+382812|17 17 16.360|+38 28 06.79| 0.55|17 17 16.101|+38 28 12.50|646777|tri? mg d+d?                                                                                                            |12
J171821.8+614037|17 18 21.804|+61 40 37.28| 0.82|            |            |647374|tri  mg                                                                                                                 |12
J172649.8+510331|17 26 49.877|+51 03 31.98| 1.04|            |            |651502|tri? mg nat/wat                                                                                                         |12
J005459.1+012156|00 54 59.185|+01 21 56.60| 1.04|            |            |006882|mg unu quad complex                                                                                                     |13
J071553.6+395112|07 15 53.615|+39 51 12.27| 0.62|            |            |031690|mg quad unu                                                                                                             |13
J074117.3+451521|07 41 17.309|+45 15 21.94| 0.27|            |            |047092|nat? int quad                                                                                                           |13
J075544.5+182345|07 55 44.564|+18 23 45.86| 0.00|            |            |058043|mg quad? d+sl? d? unu                                                                                                   |13
J100013.1+102149|10 00 13.186|+10 21 49.99| 1.53|            |            |187466|mg quad d+d sz? unu                                                                                                     |13
J100719.0+040803|10 07 19.079|+04 08 03.55| 1.20|            |            |195416|mg quad t+s                                                                                                             |13
J101741.9+013204|10 17 41.922|+01 32 04.32| 1.16|            |            |207122|mg d+d quad                                                                                                             |13
J102317.4+635706|10 23 17.475|+63 57 06.19| 2.08|            |            |213368|t? sz? with nearby s quad?                                                                                              |13
J102823.8+145639|10 28 23.866|+14 56 39.65| 1.25|            |            |219080|mg quad d+? dd? wat?? unu                                                                                               |13
J110734.6-011159|11 07 34.605|-01 11 59.06| 1.50|            |            |262081|quad sz? dd?                                                                                                            |13
J111324.8+024506|11 13 24.821|+02 45 06.86| 1.03|            |            |268708|d+d? quad                                                                                                               |13
J112655.0+110733|11 26 55.016|+11 07 33.45| 1.29|            |            |283517|d+? quad                                                                                                                |13
J112702.4+223422|11 27 02.498|+22 34 22.36| 1.58|            |            |283649|d+? quad                                                                                                                |13
J112829.7+313908|11 28 29.700|+31 39 08.48| 1.11|            |            |285331|mg tb quad                                                                                                              |13
J113200.8+090928|11 32 00.802|+09 09 28.21| 1.43|            |            |289356|dd? quad on arc                                                                                                         |13
J113500.2+110518|11 35 00.254|+11 05 18.49| 1.27|            |            |292703|quad d+d nat?                                                                                                           |13
J114323.5+600715|11 43 23.528|+60 07 15.97| 0.72|            |            |301836|rc? quad? ring? distorted                                                                                               |13
J114701.6+212450|11 47 01.687|+21 24 50.86| 1.30|            |            |305935|quad d+?                                                                                                                |13
J114740.5+434232|11 47 40.567|+43 42 32.96| 1.56|            |            |306600|mg quad d+d? unu                                                                                                        |13
J115430.0+183025|11 54 30.039|+18 30 25.34| 1.29|            |            |314407|d+? quad                                                                                                                |13
J121306.4+362708|12 13 06.418|+36 27 08.16| 1.68|            |            |335044|dd? sz?  quad aligned                                                                                                   |13
J121651.1+365134|12 16 51.133|+36 51 34.98| 1.47|            |            |339196|dd? sz? aligned quad                                                                                                    |13
J122030.0+032243|12 20 30.034|+03 22 43.71| 1.49|            |            |343271|mg d+d? quad? arc                                                                                                       |13
J122111.4+405644|12 21 11.453|+40 56 44.20| 1.12|            |            |344073|quad d+d?                                                                                                               |13
J122705.0+161139|12 27 05.099|+16 11 39.80| 1.62|            |            |350425|mg quad d+d double-core? unu                                                                                            |13
J123228.9+200952|12 32 28.972|+20 09 52.90| 2.01|            |            |356187|mg cj+d wat? tri?? quad                                                                                                 |13
J124043.4+562011|12 40 43.401|+56 20 11.40| 1.72|            |            |365196|d+d quad                                                                                                                |13
J124046.7+562457|12 40 46.728|+56 24 57.60| 1.06|            |            |365237|d+d quad                                                                                                                |13
